journal,year,total,include,rate 
AJP,1980~1984,508,0,0
AJP,1985~1989,928,3,0.003232759
AJP,1990~1994,484,6,0.012396694
AJP,1995~1999,456,4,0.00877193
AJP,2000~2004,543,10,0.018416206
AJP,2005~2009,1600,38,0.02375
AJP,2010~2014,1500,61,0.040666667
AJP,2015~2019,1050,133,0.126666667
AJP,2020~2023,818,128,0.156479218
Prim,1980~1984,678,1,0.001474926
Prim,1985~1989,551,3,0.005444646
Prim,1990~1994,832,3,0.003605769
Prim,1995~1999,928,8,0.00862069
Prim,2000~2004,903,4,0.004429679
Prim,2005~2009,986,16,0.016227181
Prim,2010~2014,1100,39,0.035454545
Prim,2015~2019,763,49,0.064220183
Prim,2020~2023,595,49,0.082352941
IJP,1980~1984,312,2,0.006410256
IJP,1985~1989,547,1,0.001828154
IJP,1990~1994,274,1,0.003649635
IJP,1995~1999,361,5,0.013850416
IJP,2000~2004,408,6,0.014705882
IJP,2005~2009,522,23,0.044061303
IJP,2010~2014,445,65,0.146067416
IJP,2015~2019,331,71,0.214501511
IJP,2020~2023,289,73,0.252595156
Folia,1980~1984,229,0,0
Folia,1985~1989,211,2,0.009478673
Folia,1990~1994,306,2,0.006535948
Folia,1995~1999,405,1,0.002469136
Folia,2000~2004,944,3,0.003177966
Folia,2005~2009,527,3,0.0056926
Folia,2010~2014,513,8,0.015594542
Folia,2015~2019,548,18,0.032846715
Folia,2020~2023,303,17,0.056105611
Animal,1980~1984,1150,12,0.010434783
Animal,1985~1989,2010,41,0.02039801
Animal,1990~1994,2510,89,0.035458167
Animal,1995~1999,2690,177,0.065799257
Animal,2000~2004,2240,289,0.129017857
Animal,2005~2009,3190,639,0.20031348
Animal,2010~2014,2820,782,0.277304965
Animal,2015~2019,2690,956,0.355390335
Animal,2020~2023,2100,760,0.361904762
BES,1980~1984,408,9,0.022058824
BES,1985~1989,534,10,0.018726592
BES,1990~1994,564,38,0.067375887
BES,1995~1999,561,19,0.033868093
BES,2000~2004,708,76,0.107344633
BES,2005~2009,957,220,0.229885057
BES,2010~2014,980,370,0.37755102
BES,2015~2019,962,453,0.470893971
BES,2020~2023,607,315,0.518945634
Ethology,1980~1984,106,0,0
Ethology,1985~1989,534,5,0.009363296
Ethology,1990~1994,590,7,0.011864407
Ethology,1995~1999,876,22,0.025114155
Ethology,2000~2004,704,34,0.048295455
Ethology,2005~2009,784,117,0.149234694
Ethology,2010~2014,1230,189,0.153658537
Ethology,2015~2019,824,225,0.273058252
Ethology,2020~2023,431,159,0.368909513
Behaviour,1980~1984,226,5,0.022123894
Behaviour,1985~1989,260,6,0.023076923
Behaviour,1990~1994,264,16,0.060606061
Behaviour,1995~1999,259,20,0.077220077
Behaviour,2000~2004,300,30,0.1
Behaviour,2005~2009,274,70,0.255474453
Behaviour,2010~2014,305,94,0.308196721
Behaviour,2015~2019,250,125,0.5
Behaviour,2020~2023,156,87,0.557692308
